timestamp,id,status,on_crosswalk,rel_pos_x,rel_pos_y
1764564284.7026193,4,1,1,42.08047866821289,0.7980824112892151
1764564284.7994225,4,1,1,42.008445739746094,0.8180257678031921
1764564284.9001453,4,1,1,41.886688232421875,0.810630202293396
1764564284.9967954,4,1,1,41.76393127441406,0.8029999732971191
1764564285.1017635,4,1,1,41.58191680908203,0.8118519186973572
1764564285.2025304,4,1,1,41.44309616088867,0.7682772874832153
1764564285.2989812,4,1,1,41.29523468017578,0.785982072353363
1764564285.4012725,4,1,1,41.13454055786133,0.793267548084259
1764564285.503054,4,1,1,40.940582275390625,0.7765219807624817
1764564285.6055803,4,1,1,40.772621154785156,0.7682733535766602
1764564285.700363,4,1,1,40.58494186401367,0.7553923726081848
1764564285.8017814,4,1,1,40.362098693847656,0.7665432095527649
1764564285.9038432,4,1,1,40.1712646484375,0.7399773001670837
1764564286.005905,4,1,1,39.97528076171875,0.7514880895614624
1764564286.0978014,4,1,1,39.77297592163086,0.7179158926010132
1764564286.2023106,4,1,1,39.53520584106445,0.7521671056747437
1764564286.3032312,4,1,1,39.30175018310547,0.7318131923675537
1764564286.4055653,4,1,1,39.04539489746094,0.7133854627609253
1764564286.5003364,4,1,1,38.833412170410156,0.7213004231452942
1764564286.6041234,4,1,1,38.53872299194336,0.7002094984054565
1764564286.7055879,4,1,1,38.275352478027344,0.676371157169342
1764564286.8077989,4,1,1,38.00608444213867,0.6960968971252441
1764564286.9017472,4,1,1,37.711631774902344,0.6860772967338562
1764564287.0023823,4,1,1,37.40525436401367,0.6872631311416626
1764564287.1023407,4,1,1,37.162986755371094,0.6783040165901184
1764564287.204823,4,1,1,36.80534362792969,0.6951221823692322
1764564287.3019698,4,1,1,36.504337310791016,0.6193276643753052
1764564287.403719,4,1,1,36.140254974365234,0.642153263092041
1764564287.5040915,4,1,1,35.83004379272461,0.6699546575546265
1764564287.606729,4,1,1,35.50104522705078,0.7143325209617615
1764564287.7019706,4,1,1,35.161956787109375,0.6997126340866089
1764564287.80253,4,1,1,34.838104248046875,0.6712648272514343
1764564287.9044976,4,1,1,34.50458908081055,0.6770241856575012
1764564288.003537,4,1,1,34.11259460449219,0.6596536636352539
1764564288.1021864,4,1,1,33.7538948059082,0.688656747341156
1764564288.2032917,4,1,1,33.41741180419922,0.6996634006500244
1764564288.3043714,4,1,1,33.057064056396484,0.694722056388855
1764564288.4078705,4,1,1,32.68775177001953,0.7159467339515686
1764564288.5027578,4,1,1,32.3181037902832,0.7191875576972961
1764564288.6035652,4,1,1,31.902191162109375,0.7334756255149841
1764564288.7010086,4,1,1,31.571853637695312,0.747290849685669
1764564288.8045084,4,1,1,31.169912338256836,0.7718777656555176
1764564288.8980029,4,1,1,30.835447311401367,0.7604458332061768
1764564289.0022554,4,1,1,30.444568634033203,0.7813955545425415
1764564289.1007228,4,1,1,30.05137062072754,0.7594068646430969
1764564289.20208,4,1,1,29.69202423095703,0.7861526012420654
1764564289.3006604,4,1,1,29.312206268310547,0.7821019887924194
1764564289.4012408,4,1,1,28.916013717651367,0.7962238788604736
1764564289.5045867,4,1,1,28.563858032226562,0.786379873752594
1764564289.605516,4,1,1,28.15729522705078,0.835839033126831
1764564289.701467,4,1,1,27.81300926208496,0.8371683955192566
1764564289.8023376,4,1,1,27.43326759338379,0.8171020746231079
1764564289.9024267,4,1,1,27.09084701538086,0.8560864925384521
1764564290.0043845,4,1,1,26.768442153930664,0.8542622327804565
1764564290.0976517,4,1,1,26.358417510986328,0.8635796904563904
1764564290.1986914,4,1,1,26.011077880859375,0.8758528232574463
1764564290.3025517,4,1,1,25.61448097229004,0.9012308716773987
1764564290.4049335,4,1,1,25.291872024536133,0.8772966265678406
1764564290.500041,4,1,1,24.935218811035156,0.916607677936554
1764564290.6020348,4,1,1,24.578224182128906,0.927176833152771
1764564290.7037823,4,1,1,24.192846298217773,0.9399797320365906
1764564290.8063388,4,1,1,23.892534255981445,0.9524822235107422
1764564290.901206,4,1,1,23.531742095947266,0.9221001267433167
1764564291.0017085,4,1,1,23.221790313720703,0.963290810585022
1764564291.1036754,4,1,1,22.867399215698242,0.9663821458816528
1764564291.2059383,4,1,1,22.536544799804688,1.0006003379821777
1764564291.3016348,4,1,1,22.188034057617188,0.9700294733047485
1764564291.4028468,4,1,1,21.857107162475586,0.9658820629119873
1764564291.504394,4,1,1,21.525056838989258,0.9875103831291199
1764564291.6063423,4,1,1,21.188888549804688,0.9997968673706055
1764564291.7033503,4,1,1,20.848642349243164,0.9922000765800476
1764564291.9044561,4,1,1,20.208330154418945,1.0130574703216553
1764564292.0045187,4,1,1,19.87697410583496,1.0242868661880493
1764564292.1002865,4,1,1,19.589826583862305,0.995010256767273
1764564292.2009966,4,1,1,19.25040626525879,1.0347450971603394
1764564292.3051486,4,1,1,18.910449981689453,1.026296854019165
1764564292.4061873,4,1,1,18.60369873046875,1.037358283996582
1764564292.504476,4,1,1,18.30731201171875,1.0454747676849365
1764564292.9015217,4,1,1,17.092832565307617,1.0553994178771973
1764564293.0031147,0,0,0,0.0,0.0
1764564293.1048908,0,0,0,0.0,0.0
1764564293.210761,4,1,1,16.165620803833008,1.0970014333724976
1764564293.3016667,4,1,1,15.916200637817383,1.0820642709732056
1764564293.4006345,4,1,1,15.600412368774414,1.0503809452056885
1764564293.5028458,4,1,1,15.320533752441406,1.0767695903778076
1764564293.6031725,4,1,1,15.061488151550293,1.0903857946395874
1764564293.708878,4,1,1,14.78799057006836,1.0607867240905762
1764564293.8033326,4,1,1,14.542624473571777,1.0413504838943481
1764564293.9054763,4,1,1,14.309545516967773,1.0827022790908813
