x,y
935626.3903,1915980.641
935624.6163,1915981.564
935622.8277,1915982.459
935621.0383,1915983.353
935619.2576,1915984.263
935617.5111,1915985.237
935615.8342,1915986.326
935614.2847,1915987.588
935612.9406,1915989.063
935612.1035,1915990.866
935612.0499,1915992.852
935612.6173,1915994.765
935613.4797,1915996.569
935613.9526,1915997.715
