SOUL,37.61855197,127.09834817
SSAN,33.46780458,126.90471344
SUNJ,35.91407613,128.25612763
SUWN,37.27551469,127.05424019
SWDJ,36.39959437,127.375101
SWGJ,35.12800274,126.8032362
SWGN,37.75563932,128.9417299
SWIC,37.14720892,127.5492428
SWJJ,33.4260112,126.2943401
SWON,37.27252778,13.11044444
TABK,37.16364592,128.98607856
TEAN,36.75440084,126.2917426
TEGN,35.90630656,128.80196742
ULLE,37.51841283,130.79770525
ULSN,35.57480845,129.3088465
WLJN,36.9928232,129.4045007
WNDO,34.33536999,126.74282646
WNJU,37.33720708,127.94708853
WOLS,35.50394672,129.41601483
WSJG,35.56568093,129.31705018
WSSN,35.54542039,129.1189628
WULJ,36.99197653,129.41299553
YANJ,37.69689373,126.93162227
YANP,37.45418892,127.50562292
YANS,35.34509,129.06806
YCHG,35.98087475,129.10643009
YCIG,36.0527821,129.04001413
YCMP,35.97294266,128.92692406
YDKG,36.36295154,129.39043655
YECH,36.65145894,128.44633767
YEJU,37.29141467,127.6409031
YENG,36.868392,128.532568
YEOJ,37.27857494,127.57830358
YKBG,38.22537,127.99036
YNDK,36.41244514,129.37189
YNDO,35.06218911,129.0707275
YNJU,36.86570458,128.54487808
YNPY,37.48855556,127.49444444
YODK,36.5334615,129.40905083
YOIN,37.23229669,127.2012785
YOIN,37.22146042,127.23122111
YONJ,36.80734184,128.6224851
YONK,35.27858319,126.5164705
YONS,37.54112211,127.00134461
YOWL,37.18251822,128.46181328
YPDO,37.66441667,12.90788889
YSBG,35.46808,129.07991
YYAN,38.10509645,128.64039118
,0,0
